,time,confidence,shadow,xc,yc,minr,maxr,maj-ax,min-ax,orientation,x-pos,y-pos,x-corr,y-corr,x-vel,y-vel,speed,rear,freeze,escape,hide,x-corr-filtered,y-corr-filtered,x-vel-filtered,y-vel-filtered,speed-filtered,freeze-filtered,escape-filtered,hide-filtered
0,-10.0,1518.2,True,354.46265314187855,196.7034646291661,113.0,289.0,178.95448887623343,58.95087242191801,0.0556892220803508,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.383952155998759e-06,-6.486418946743087e-05,,,,0.0,0.0,1.0
1,-9.96546052631579,1558.4,True,355.12782340862424,193.88218685831623,108.0,289.0,183.8564119985406,58.68084005578958,0.0167118782159173,356.6640448818131,285.7975559857347,-0.023268842738439263,0.4579560370722329,-0.6980652821531778,13.738681112166987,13.75640410281559,0.0,0.0,0.0,0.0,-0.009367577918524878,0.17816955325243625,-0.2811888561204263,5.347032523257111,5.3544209750051985,0.0,1.0,0.0
2,-9.93092105263158,2001.5,True,356.19335498376216,191.1954783912066,103.0,287.0,188.09038860349003,58.59260128366265,-0.0107897488811395,355.1786506424593,285.2351984373271,-0.02390629116693087,0.4570868600267807,-0.019123452854748278,-0.02607531136356613,0.03233617651786774,0.0,0.0,0.0,0.0,-0.017327302275013345,0.33183156280150006,-0.238791730694654,4.609860286471914,4.616040874108359,0.0,1.0,0.0
3,-9.896381578947368,2751.6666666666665,True,357.13385826771656,187.81114476075103,96.0,286.0,194.4636198837721,58.32574366965152,-0.031328755285824,354.0882049586096,284.99524253654863,-0.02436452094207165,0.4567159853733364,-0.013746893254223378,-0.011126239603328258,0.017685312602656544,1.0,0.0,0.0,0.0,-0.022855137392133004,0.44319921962223696,-0.1658350535135898,3.341029704622107,3.345142859750707,0.0,1.0,0.0
4,-9.861842105263158,2812.0,True,358.1642958748222,185.08048838312,91.0,285.0,198.8660920666805,58.268909607914765,-0.0241233772672545,355.7658676308104,284.4846039187792,-0.023713388056867343,0.4559267448512817,0.019533986556129257,-0.023677215661642208,0.03069506755592751,1.0,0.0,0.0,0.0,-0.02557794098897469,0.5056865226379197,-0.0816841079052506,1.8746190904704818,1.8763978863345196,0.0,1.0,0.0
5,-9.827302631578949,2149.75,True,358.9684847075241,182.6517036864752,86.0,285.0,204.25938705230777,58.525260082419805,0.0037812194539294,359.35465857127963,284.78066710769605,-0.022235069458779583,0.45638433865177136,0.044349557942632706,0.013727814014690693,0.04642559819031817,1.0,0.0,0.0,0.0,-0.025792270509211884,0.5241730180185523,-0.0064298856071157845,0.5545948614189788,0.554632133707791,0.0,1.0,0.0
6,-9.792763157894736,1455.1666666666667,True,359.6610926583438,180.8552284961631,84.0,285.0,208.22240975550557,58.577930065366935,0.0317726861550673,362.9684287693291,284.9138874772704,-0.02075751785158056,0.4565902433960903,0.044326548215970756,0.006177142329567003,0.04475488760015502,1.0,0.0,0.0,0.0,-0.024281127060430615,0.5117636200487556,0.04533430346343806,-0.3722819390939003,0.37503205362479297,0.0,1.0,0.0
7,-9.758223684210526,1099.75,True,359.8978176858377,179.9703341668561,82.0,284.0,210.79337340534627,58.57799927474778,0.0466594874414952,364.8137888457427,285.25231171029145,-0.019989477800449438,0.45711331021683377,0.023041201533933596,0.015692004622305262,0.027877158700157976,1.0,0.0,0.0,0.0,-0.022016846729457373,0.4846586896784255,0.06792840992919727,-0.8131479111099038,0.8159802658262694,0.0,1.0,0.0
8,-9.723684210526317,1474.5,True,359.3285859613428,179.09958177913418,80.0,285.0,213.3737973322669,58.63274547388098,0.063866533147802,366.1376771353629,285.5689699824188,-0.019435579239543494,0.4576027356760723,0.016616956827178377,0.01468276377715597,0.022174462932212667,1.0,0.0,0.0,0.0,-0.019868636391227087,0.45718930242861266,0.06444631014690855,-0.8240816174943855,0.8265977493217086,0.0,1.0,0.0
9,-9.689144736842104,1784.2,True,358.8297276090124,178.57224526398386,78.0,285.0,214.58467512264903,58.51554113223021,0.0682278475441198,366.1443747804017,285.61495466603185,-0.019430555947460303,0.4576738093756289,0.000150698762495727,0.0021322109866969167,0.0021375298381095843,1.0,0.0,0.0,0.0,-0.018407541249089977,0.43857373646567593,0.043832854264113305,-0.5584669788881019,0.5601845103368556,0.0,1.0,0.0
10,-9.654605263157894,2220.75,True,358.99144433186984,178.80108071597434,79.0,284.0,213.31749405657197,58.504961632376286,0.0620282825778172,365.6030616198364,285.2547083407827,-0.019668592695180127,0.4571170144370676,-0.007141102431594744,-0.016703848156838036,0.018166284352757165,1.0,0.0,0.0,0.0,-0.017847110824138725,0.4319999352263137,0.016812912748537558,-0.19721403718086727,0.19792940786115246,0.0,1.0,0.0
11,-9.620065789473683,2203.5,True,359.55094168368504,178.7072838665759,79.0,284.0,213.3304429894295,58.22515904273041,0.0520239250989821,365.0975824003335,285.2281938010905,-0.019875377529290316,0.4570760336956577,-0.0062035450233056365,-0.001229422242296889,0.006324195593594052,1.0,0.0,0.0,0.0,-0.018102538777490164,0.4357146901869196,-0.007662838600543155,0.11144264881817745,0.111705787992519,0.0,1.0,0.0
12,-9.585526315789474,1779.4,True,361.11565696302125,178.42373833876587,78.0,284.0,213.8819567170609,58.3904478811242,0.0410169746228887,365.5008225223861,285.274770974378,-0.019709124291866838,0.4571480231443245,0.0049875971227043795,0.00215968346000352,0.005435104203768477,1.0,0.0,0.0,0.0,-0.018915673653853656,0.44523019264404873,-0.024394046290904768,0.28546507371387364,0.2865054585953122,0.0,1.0,0.0
