,time,confidence,shadow,xc,yc,minr,maxr,maj-ax,min-ax,orientation,x-pos,y-pos,x-corr,y-corr,x-vel,y-vel,speed,rear,freeze,escape,hide
0,-10.0,3167.0,False,196.65961477739185,95.81307230817809,65.0,132.0,88.52767263859862,47.02615727308688,-0.9784561870594548,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-9.96546052631579,3145.0,False,194.36629570747218,97.57201907790143,67.0,136.0,88.5468426797151,47.181530868261596,-0.9324846427504903,194.36629570747218,132.07201907790142,-117.11071464619805,68.32871174868437,-117.11071464619805,68.32871174868437,135.58662299127457,0.0,0.0,0.0,0.0
2,-9.930921052631579,2948.0,False,191.83175033921302,99.04511533242876,67.0,136.0,88.52335962892637,47.41820492854712,-0.882723555576578,191.83175033921302,133.54511533242876,-118.53315896810899,70.61258191074228,-1.4224443219109446,2.2838701620579087,2.6906153136550577,0.0,0.0,0.0,0.0
3,-9.896381578947368,3026.0,False,189.4352280237938,101.044282881692,69.0,138.0,87.71271391702999,48.38034298654494,-0.8846488302152816,189.4352280237938,135.544282881692,-119.75628584397461,73.71206648324342,-1.223126875865617,3.09948457250114,3.332093031359923,0.0,0.0,0.0,0.0
4,-9.861842105263158,3288.0,False,187.13077858880777,101.97110705596107,70.0,139.0,87.84004342025841,48.96784147604551,-0.9313731766678586,187.13077858880777,136.47110705596106,-121.1135607651188,75.14900318753652,-1.357274921144196,1.4369367042931032,1.9766087887368375,0.0,0.0,0.0,0.0
5,-9.827302631578947,3226.0,False,186.4122752634842,102.65747055176689,71.0,139.0,91.06237737371114,49.7557473537654,-0.9787378134924695,186.4122752634842,136.6574705517669,-121.55555354065962,75.43793883994867,-0.44199277554081107,0.2889356524121496,0.5280543768070712,0.0,0.0,0.0,0.0
6,-9.792763157894736,3235.0,False,185.30355486862442,103.4531684698609,73.0,136.0,91.97742703055609,49.39218728228279,-1.0237337668957958,185.30355486862442,134.95316846986088,-122.62230431850097,72.79561003079208,-1.0667507778413494,-2.642328809156595,2.8495365864863067,0.0,0.0,0.0,0.0
7,-9.758223684210526,3412.0,False,183.4985345838218,105.42966002344666,73.0,140.0,95.49385151817165,48.86425069018068,-1.0192274061403805,183.4985345838218,138.92966002344667,-123.04889338345022,78.960713214646,-0.42658906494925475,6.16510318385393,6.179844293985095,0.0,0.0,0.0,0.0
8,-9.723684210526315,3472.0,False,182.97177419354838,106.49884792626727,74.0,141.0,94.33689246522297,49.9024271688709,-1.0197632471622995,182.97177419354838,139.99884792626727,-123.18841784718987,80.61836887793376,-0.13952446373964733,1.6576556632877555,1.6635171697376028,0.0,0.0,0.0,0.0
9,-9.689144736842104,3478.0,False,182.6049453709028,108.0632547441058,75.0,145.0,94.56270515858505,51.39861739621522,-0.9783132341434638,182.6049453709028,143.0632547441058,-122.8295996112338,85.36938720016403,0.35881823595606477,4.751018322230266,4.764548837468487,0.0,0.0,0.0,0.0
10,-9.654605263157894,3429.0,False,182.28638086905804,108.34966462525517,74.0,143.0,92.80831279233026,52.384869034548714,-0.9526062774406915,182.28638086905804,142.84966462525517,-123.08123415565412,85.03823972907779,-0.2516345444203125,-0.3311474710862399,0.4159069505940365,0.0,0.0,0.0,0.0
11,-9.620065789473685,3309.0,False,180.9679661529163,108.74977334542157,75.0,143.0,90.0354029214122,52.19170972527597,-0.9352572253100887,180.9679661529163,142.74977334542157,-123.96894448159378,84.88336952778539,-0.8877103259396648,-0.15487020129239681,0.9011184173171989,0.0,0.0,0.0,0.0
12,-9.585526315789474,3315.0,False,179.06968325791854,109.90527903469079,76.0,148.0,88.7156566163224,53.13810246937206,-0.8851585461852979,179.06968325791854,145.9052790346908,-124.58779886778616,89.77562641037335,-0.6188543861923819,4.892256882587958,4.931243064029474,0.0,0.0,0.0,0.0
13,-9.550986842105264,3014.0,False,176.92899800928998,108.9830789648308,76.0,147.0,86.07923455038222,52.29547114349181,-0.8667684497341213,176.92899800928998,144.48307896483078,-126.27777221593159,87.57066506175316,-1.689973348145429,-2.2049613486201878,2.7781044736206066,0.0,0.0,0.0,0.0
14,-9.516447368421053,2993.0,False,174.93184096224525,111.30170397594387,76.0,147.0,87.04118970259329,51.343388347318346,-0.8635476679894677,174.93184096224525,146.80170397594387,-127.1153529609503,91.16543252084321,-0.8375807450187125,3.5947674590900505,3.6910560263099286,0.0,0.0,0.0,0.0
15,-9.481907894736842,2880.0,False,172.91805555555555,111.5892361111111,76.0,147.0,86.30754334367549,51.00605413885685,-0.842175976414241,172.91805555555555,147.08923611111112,-128.37333421855828,91.61121877691647,-1.2579812576079803,0.44578625607326217,1.3346318708156086,0.0,0.0,0.0,0.0
16,-9.447368421052632,2978.0,False,170.42243116185358,115.34989926124916,79.0,153.0,81.49075542859345,55.23519063431169,-0.8530703765443619,170.42243116185358,152.34989926124916,-128.90529650243838,99.7672856763553,-0.531962283880091,8.156066899438827,8.173396548534312,0.0,0.0,0.0,0.0
17,-9.412828947368421,3187.0,False,167.589582679636,120.02855349858801,80.0,160.0,81.91097621607219,56.81355189794277,-0.6233107767822844,167.589582679636,160.028553498588,-129.11369456186506,111.6721759668031,-0.20839805942668477,11.904890290447796,11.906714180611333,0.0,0.0,0.0,0.0
18,-9.37828947368421,3063.0,False,166.39307868103168,119.50342801175319,85.0,159.0,78.60399515486836,56.20154007473161,-0.5724278699104682,166.39307868103168,156.5034280117532,-130.63167740498685,106.20686513450107,-1.5179828431217857,-5.465310832302023,5.6722036639819216,0.0,0.0,0.0,0.0
