animal,day,trial,shadowON(abs),escape(rel),hide(rel),shadowOFF(rel)
m966,day1,1,643.6,3.7114261884904085,4.1117597998331945,8.715596330275229
m966,day1,2,1210.15,3.1109257714762304,3.561301084236865,10.517097581317767
m966,day1,3,1438.45,3.3110925771476243,3.7114261884904085,11.267723102585489
m966,day1,4,1683.5,3.761467889908257,4.2118432026688915,11.868223519599667
m966,day1,5,1909.35,4.962468723936615,5.462885738115096,12.668890742285239
m966,day1,6,2246.6,3.961634695579651,4.311926605504588,13.369474562135114
m966,day1,7,2669.4,3.961634695579651,4.2118432026688915,14.170141784820686
m966,day1,8,2921.0,5.3127606338615525,5.763135946622185,14.82068390325271
m966,day1,9,3238.9,4.26188490408674,4.712260216847373,15.621351125938283
