,time,shadow,xc,yc,minr,maxr,maj-ax,min-ax,orientation,x-pos,y-pos,x-corr,y-corr,x-vel,y-vel,speed,rear,freeze,escape,hide
0,-10.0,False,174.53574803149607,155.87212598425197,107.0,216.0,99.78258297212568,47.6983769409663,0.7771682234579409,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-9.949958298582152,False,176.17334230898686,150.35072366206666,100.0,214.0,99.9314665987332,45.16940322043543,0.7660338848834746,176.17334230898686,188.35072366206666,-137.26942356860772,102.76005876455808,-137.26942356860772,102.76005876455808,171.47164291553653,0.0,0.0,0.0,0.0
2,-9.899916597164303,False,176.14341336794288,151.27417261518494,103.0,215.0,99.31815980309543,46.94162370733383,0.7917147594088211,176.14341336794288,188.60750594851828,-137.2420848772114,103.10566076516592,0.02733869139632361,0.3456020006078404,0.3466816217675883,0.0,0.0,0.0,0.0
3,-9.849874895746455,False,174.1946218487395,149.20235294117646,103.0,213.0,94.33340473162932,46.340471797507,0.8115738188431666,174.1946218487395,185.86901960784311,-138.84345212218258,99.41994563639719,-1.6013672449711862,-3.6857151287687344,4.018566045706022,0.0,0.0,0.0,0.0
4,-9.799833194328608,False,173.59935794542537,148.57431781701445,101.0,208.0,97.1434882788453,47.45487057828869,0.7796861981180601,173.59935794542537,184.2409844836811,-139.47302356331886,97.2287812700957,-0.629571441136278,-2.191164366301493,2.279816106541015,0.0,0.0,0.0,0.0
5,-9.74979149291076,False,172.42251698479456,146.96894208993854,97.0,211.0,97.70997454897902,50.311534286113336,0.6677080625721492,172.42251698479456,184.96894208993854,-140.02602840660825,98.20853578726586,-0.5530048432893864,0.9797545171701643,1.125048119245066,0.0,0.0,0.0,0.0
6,-9.699749791492911,False,172.94659719960924,143.63594920221425,93.0,207.0,99.46732645262937,46.346353878407506,0.6781082930230176,172.94659719960924,181.63594920221425,-140.30924356453588,93.7226772573543,-0.2832151579276285,-4.485858529911553,4.494790048051211,0.0,0.0,0.0,0.0
7,-9.649708090075062,False,172.71330500163452,141.20594965675056,89.0,207.0,104.10629398192657,45.34804808188589,0.6301193380103788,172.71330500163452,180.5392829900839,-140.63787303494237,92.24667966363917,-0.32862947040649715,-1.4759975937151353,1.5121396183793758,0.0,0.0,0.0,0.0
8,-9.599666388657214,False,172.75969756738988,139.59007232084156,87.0,208.0,101.82022536946494,47.783379459320926,0.5940308535483054,201.25438771232695,181.77884105277047,-123.84412532998874,93.91499468744342,16.79374770495363,1.6683150238042543,16.876410666853495,1.0,0.0,0.0,0.0
9,-9.549624687239366,False,173.54288597376387,136.347460477632,83.0,207.0,109.69080031605716,44.60275987799049,0.5625332144631338,202.79362548032373,182.74155661942206,-122.80176088097853,95.21070877445767,1.0423644490102077,1.2957140870142467,1.6629487784798174,1.0,0.0,0.0,0.0
10,-9.499582985821519,False,169.87632169176547,131.6135853892983,74.0,206.0,109.44622525565231,47.61722449915878,0.5384166347068904,197.93709062475858,178.59456348221283,-126.27291435130236,89.62929136233221,-3.471153470323827,-5.581417412125461,6.572756403741008,1.0,0.0,0.0,0.0
11,-9.44954128440367,False,169.36059240180296,128.63972955569864,71.0,207.0,114.81380757736054,46.200291737829964,0.4886751868666635,196.31063936326544,179.32747532701657,-127.10479408579634,90.61571376449066,-0.831879734493981,0.9864224021584533,1.290369345630091,1.0,0.0,0.0,0.0
12,-9.399499582985822,False,169.04266666666666,127.20133333333334,71.0,206.0,116.48666474181042,45.49406461404431,0.47147551237970814,195.4968646419128,179.09026447624876,-127.61668904063076,90.29645286170762,-0.5118949548344176,-0.31926090278304287,0.6032942638802179,1.0,0.0,0.0,0.0
13,-9.349457881567973,False,168.31970028098658,130.0337183890103,73.0,206.0,115.77445697005213,47.54266517446086,0.4807206977056548,195.0878146919969,181.36011776162042,-127.49232506700184,93.35143709504766,0.12436397362891682,3.0549842333400363,3.0575145239054846,1.0,0.0,0.0,0.0
14,-9.299416180150125,False,167.27376191940942,131.01045832051676,74.0,205.0,113.58643674468523,47.333501266049375,0.5016861168103965,194.58587978850602,180.80521578145004,-127.87285746982596,92.60459728324366,-0.38053240282411593,-0.7468398118039943,0.8381972405672312,1.0,0.0,0.0,0.0
15,-9.249374478732276,False,165.71612903225807,127.58967741935484,73.0,202.0,101.98600028613414,45.60297465922418,0.5563489898534489,192.64498818334772,170.89236334542198,-130.6031389997964,79.26293855373079,-2.730281529970455,-13.341658729512872,13.618160481051941,1.0,0.0,0.0,0.0
16,-9.199332777314428,False,166.04131697869593,125.42898644286636,71.0,202.0,100.91894604003096,45.508043493275814,0.5448460020763811,192.19377542107236,168.58228683666525,-131.24278287040963,76.15381808434084,-0.639643870613213,-3.10912046938995,3.174236030038194,1.0,0.0,0.0,0.0
17,-9.149291075896581,False,167.89743589743588,125.84298828743273,71.0,202.0,108.3421337521759,45.93401122908432,0.5291600575251045,195.2434484542299,172.60515337564541,-128.79994866297244,81.5681741260369,2.442834207437187,5.414356041696053,5.939923426381506,1.0,0.0,0.0,0.0
18,-9.099249374478733,False,168.83201648917898,120.88285812435589,67.0,201.0,100.35950037042845,43.8829884277866,0.5411479187567824,194.68062107524833,163.89282173284482,-130.52539570437958,69.84229035376153,-1.7254470414071363,-11.725883772275367,11.85215245150059,1.0,0.0,0.0,1.0
19,-9.049207673060884,False,171.01982160555005,119.98843739676246,63.0,200.0,100.59343274239279,44.29076345272834,0.49364236414138785,194.85224350227492,164.2803705704351,-130.36149187579903,70.36389040435411,0.1639038285805441,0.521600050592582,0.5467458987514624,1.0,0.0,0.0,1.0
20,-8.999165971643036,False,171.28149143432987,114.57104467584817,56.0,201.0,105.25630257632564,44.58429683548729,0.419509335844722,192.7175891999465,162.6357512763537,-131.89406481634163,68.15040548634413,-1.5325729405425932,-2.213484918009982,2.6922658301774414,1.0,0.0,0.0,1.0
21,-8.949124270225187,False,197.39705882352942,178.88235294117646,161.0,199.0,63.923460802183854,7.40350729839166,-0.20519409508547753,190.8846265455238,210.17357273294033,-125.24202900057924,132.13132265537055,6.652035815762389,63.98091716902643,64.3257906463963,1.0,0.0,0.0,0.0
22,-8.899082568807339,False,185.05154639175257,179.83505154639175,151.0,201.0,98.66790079059624,8.475707422052604,0.5473086029976792,210.72448310164268,221.96270258814474,-112.38051227355758,147.99825381984485,12.861516727021652,15.866931164474295,20.424938606948697,1.0,0.0,0.0,0.0
23,-8.84904086738949,False,177.86170212765958,161.43617021276594,139.0,200.0,86.2330568022045,33.25464906715243,0.48280878991495824,197.879358144244,199.62423731447666,-122.98877705134852,117.93302464936292,-10.608264777790936,-30.065229170481928,31.881864541919708,1.0,0.0,0.0,0.0
24,-8.798999165971644,False,169.57333333333332,152.22666666666666,147.0,159.0,12.550905025652522,7.57672054045557,0.3502392411690674,169.57333333333332,156.22666666666666,-146.801233393597,59.524450426200076,-23.812456342248467,-58.408574223162844,63.07610181228872,0.0,0.0,0.0,0.0
25,-8.748957464553795,False,165.6384839650146,134.31778425655978,112.0,158.0,48.067512831134415,9.484667779683646,0.2100043172212134,170.64865989983437,157.82351939811556,-145.87311590513426,61.67364656543144,0.9281174884627319,2.149196139231364,2.3410352661327787,1.0,0.0,0.0,0.0
26,-8.698915763135947,False,166.37943262411346,136.67021276595744,117.0,159.0,46.59946523722872,20.729755801102126,0.48159995487943147,177.17181601656293,157.31971641154908,-142.05801252328564,60.99558063465555,3.8151033818486155,-0.6780659307758867,3.874891897933633,1.0,0.0,0.0,0.0
27,-8.648874061718098,False,172.19345238095238,141.29761904761904,120.0,163.0,66.43010831918967,25.007159520721927,0.9003913225433041,172.19345238095238,155.63095238095238,-145.3359462115094,58.72268153560212,-3.2779336882237544,-2.272899099053433,3.9888494053887382,0.0,0.0,0.0,0.0
28,-8.59883236030025,False,168.94169096209913,141.18950437317784,117.0,198.0,80.31584948397011,27.418377085769198,0.5408631740826437,189.61804872282238,175.61547058087513,-131.6114875554999,85.6197450617431,13.724458656009489,26.897063526140983,30.196238039361415,1.0,0.0,0.0,0.0
29,-8.548790658882401,False,178.73076923076923,152.02564102564102,147.0,157.0,57.92148450963834,8.877113515258037,1.5018572437447337,178.73076923076923,155.35897435897436,-141.46155299363215,58.356627670221215,-9.850065438132248,-27.263117391521888,28.98795196352082,0.0,0.0,0.0,0.0
30,-8.498748957464553,False,195.97142857142856,151.02857142857144,147.0,157.0,9.794941329225995,4.687841619647364,0.07461960663211324,196.33653685997407,155.91241365046807,-130.81015470281224,59.1014988566192,10.651398290819913,0.7448711863979867,10.677411607407823,1.0,0.0,0.0,1.0
31,-8.448707256046706,False,167.79518072289156,151.3975903614458,145.0,159.0,19.02810193656438,13.498175865692012,-1.516846608055974,167.79518072289156,156.06425702811245,-147.89618283840088,59.305864102439365,-17.086028135588634,0.20436524582016347,17.087250293825086,0.0,0.0,0.0,0.0
