,time,confidence,shadow,xc,yc,minr,maxr,maj-ax,min-ax,orientation,x-pos,y-pos,x-corr,y-corr,x-vel,y-vel,speed,rear,freeze,escape,hide,x-corr-filtered,y-corr-filtered,x-vel-filtered,y-vel-filtered,speed-filtered
0,-10.0,1364.0,False,355.02355008787345,65.95149384885765,24.0,134.0,122.98669986434336,42.53342122444194,0.7779329560869249,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7464627926031125e-06,3.38861583116248e-05,,,
1,-9.966613672496026,678.0,False,352.53238938053096,63.58902654867256,18.0,130.0,126.40054211281628,40.68099590237662,0.6897302723606075,352.53238938053096,119.58902654867256,0.020267055180099195,0.06830391629589791,0.6080116554029759,2.0491174888769375,2.137419157846021,0.0,0.0,0.0,0.0,0.00515030490924023,0.028607229179503292,0.154591541160985,0.85720029063575,0.8710286349280043
2,-9.933227344992051,1461.0,False,349.8565188172043,62.237231182795696,14.0,130.0,128.4196437079724,39.204436519609246,0.6616655934163247,349.8565188172043,120.2372311827957,0.018294092514725583,0.06949766332006574,-0.059188879961208335,0.03581241072503502,0.06917985453151035,0.0,0.0,0.0,0.0,0.009685743054508002,0.05320466958147811,0.13606314435803318,0.7379232120592446,0.7503624765061402
3,-9.899841017488075,1519.0,False,347.5124959428757,60.71989613761766,11.0,130.0,131.557275543785,37.9122037330331,0.6685565665844456,347.5124959428757,120.21989613761768,0.016586606576406454,0.06946573874331062,-0.05122457814957393,-0.0009577373026534979,0.05123353069370391,0.0,0.0,0.0,0.0,0.013221261602014266,0.07077114656029679,0.10606555642518792,0.5269943093645603,0.5375620004821905
4,-9.8664546899841,1576.0,False,344.61342955757766,58.50862880451836,8.0,130.0,134.64422760541186,36.9661193909081,0.6737767065612987,344.61342955757766,119.50862880451837,0.014492284646908852,0.06815585415196752,-0.062829657884928,-0.03929653774029319,0.07410657048002815,0.0,0.0,0.0,0.0,0.015738715913684583,0.07982011174904449,0.0755236293501095,0.2714689556624311,0.2817786586643206
5,-9.833068362480128,1049.0,False,340.9287740308856,56.414434289316105,0.0,134.0,140.4711040501137,35.3673926053709,0.6468355785591964,340.9287740308856,123.4144342893161,0.011722688158841353,0.0753488660945048,-0.083087894642025,0.21579035827611848,0.23123381448434355,0.0,0.0,0.0,0.0,0.017518357483955745,0.08056948211648077,0.05338924710813486,0.02248111102308825,0.05792937130338898
6,-9.799682034976152,748.75,False,338.79886968085106,55.456449468085104,0.0,129.0,136.375286432794,33.96434974738855,0.6371569472423592,338.79886968085106,119.95644946808513,0.010241910430778468,0.06898056992280867,-0.044423331841886585,-0.19104888515088392,0.19614563194047938,0.0,0.0,0.0,0.0,0.018935762324188667,0.07461211882956402,0.04252214520698766,-0.17872089860750243,0.18370980494267938
7,-9.766295707472178,765.5,False,337.0762491888384,54.76930564568462,0.0,129.0,132.26768507941523,35.209996943983896,0.605774944320831,337.0762491888384,119.26930564568464,0.00899698041679537,0.06771511168634368,-0.03734790041949292,-0.037963747093949396,0.053255157113257214,0.0,0.0,0.0,0.0,0.020240147511297137,0.06430590070885309,0.03913155561325408,-0.309186543621328,0.3116530080092547
8,-9.732909379968204,3205.0,False,334.6396255850234,52.34758190327613,0.0,128.0,132.32971214244853,36.519310930930125,0.5524244192625942,369.35980369672046,108.67073354465586,0.03316906384096716,0.04819656269734044,0.7251625027251538,-0.5855564696700974,0.9320606388701953,1.0,0.0,0.0,0.0,0.021431446324671907,0.05211475610949967,0.03573896440124312,-0.36573433798060245,0.36747636598097416
9,-9.69952305246423,3137.0,False,331.13197322282434,48.04144086707045,0.0,123.0,130.04083221954474,33.854000352848125,0.5207208575582561,363.47999322731135,104.44410137947229,0.02900777499443391,0.04041270972278506,-0.1248386653959976,-0.2335155892366614,0.26479090391174503,1.0,0.0,0.0,0.0,0.02228780023857456,0.04008569764550796,0.025690617417079564,-0.36087175391975124,0.36178506132839183
10,-9.666136724960252,2929.0,False,328.44144759303515,46.87743257084329,0.0,120.0,124.34907995933872,32.26281995629574,0.5016180718858242,358.33775817956445,101.39242165639004,0.02528822131208047,0.034792673400349985,-0.11158661047060317,-0.1686010896730523,0.20218283575827783,1.0,0.0,0.0,0.0,0.02250904634302542,0.029556926932806822,0.0066373831335257705,-0.31586312138103423,0.31593285094056167
11,-9.63275039745628,2638.0,False,324.72630780894616,43.78999241849886,0.0,94.0,114.27268649103574,30.746644612897622,0.4942354727187535,351.8294323088861,94.08892244499536,0.020642509025930258,0.021342398609567884,-0.13937136858450633,-0.403508243723463,0.4268996148205242,1.0,0.0,0.0,0.0,0.02188685257150906,0.021103795509647052,-0.018665813145490734,-0.25359394269479313,0.2542799645113087
12,-9.599364069952305,2437.0,False,322.3089864587608,42.34755847353304,0.0,95.0,112.09947049875092,28.875998487817803,0.4999257678761661,349.1770095455134,91.5378233329014,0.01870074045235499,0.016644241865380133,-0.05825305720725801,-0.14094470232563255,0.1525084515286063,1.0,0.0,0.0,0.0,0.020414427547744043,0.0146692526955552,-0.044172750712950515,-0.19303628442275558,0.1980258543960648
13,-9.56597774244833,2342.0,False,320.47651579846286,40.52732707087959,0.0,93.0,106.81739041932356,29.02454116765698,0.5059157666001798,346.3588337733843,87.2455712613841,0.016662520770569244,0.008739541917834439,-0.061146590453572444,-0.23714099842637076,0.2448974451862512,1.0,0.0,0.0,0.0,0.01829570097343798,0.009800905628765209,-0.06356179722918187,-0.14605041200369973,0.15928221781936008
